StationId,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
AP001,2018-02-13,58.71,99.04,0.41,13.88,7.62,11.99,0.86,6.89,36.2,0.12,1.84,0.1,110.0,Moderate
AP001,2018-02-14,56.29,107.96,0.25,16.71,9.02,10.89,0.95,12.91,48.39,0.16,2.37,0.1,114.0,Moderate
AP001,2018-02-15,50.41,118.62,1.68,25.6,15.01,20.24,0.69,11.81,33.46,0.17,3.82,0.11,111.0,Moderate
AP001,2018-02-16,57.53,128.81,1.94,25.03,14.88,33.72,0.78,25.39,31.15,0.15,3.02,0.14,117.0,Moderate
AP001,2018-02-17,43.82,97.19,1.45,16.01,9.45,22.52,0.67,17.62,27.62,0.09,2.52,0.12,107.0,Moderate
AP001,2018-02-18,42.71,80.24,15.9,17.35,22.25,24.68,0.49,9.53,30.68,0.1,3.09,0.12,87.0,Satisfactory
AP001,2018-02-19,54.73,94.12,3.49,12.79,9.73,22.79,0.58,8.21,30.21,0.08,2.23,0.15,89.0,Satisfactory
AP001,2018-02-20,50.91,99.84,4.55,16.33,12.39,23.18,0.64,10.34,26.24,0.1,2.51,0.1,97.0,Satisfactory
AP001,2018-02-21,38.5,106.7,4.5,16.82,12.69,19.54,0.58,11.02,26.62,0.1,2.68,0.11,100.0,Satisfactory
AP001,2018-02-22,32.21,107.43,7.39,17.33,15.32,18.13,0.6,11.81,24.84,0.12,3.28,0.13,105.0,Moderate
AP001,2018-02-23,35.36,107.25,6.13,17.75,14.52,16.57,0.85,10.87,23.99,0.09,2.92,0.2,114.0,Moderate
AP001,2018-02-24,59.65,127.26,8.21,19.14,16.94,20.46,0.7,10.82,21.64,0.16,2.67,0.15,116.0,Moderate
AP001,2018-02-25,46.16,115.95,11.52,17.19,18.59,16.35,,9.18,16.94,0.13,2.51,0.13,116.0,Moderate
AP001,2018-02-26,34.31,107.74,9.19,20.85,18.66,15.88,,13.97,16.28,0.1,2.44,0.12,98.0,Satisfactory
AP001,2018-02-27,39.52,113.31,19.35,21.18,27.0,18.5,0.81,15.02,18.8,0.15,2.65,0.2,116.0,Moderate
AP001,2018-02-28,43.08,116.06,5.34,19.02,14.54,22.46,0.79,22.7,25.64,0.09,2.16,0.12,108.0,Moderate
AP001,2018-03-01,38.1,97.0,7.1,22.21,17.68,19.27,0.79,13.89,22.73,0.06,2.12,0.11,100.0,Satisfactory
AP001,2018-03-02,33.08,83.16,5.37,18.83,14.38,14.52,0.72,8.98,23.63,0.05,2.04,0.1,92.0,Satisfactory
AP001,2018-03-03,29.7,77.45,4.45,17.33,13.01,12.72,0.65,9.71,29.26,0.05,1.85,0.1,80.0,Satisfactory
AP001,2018-03-04,38.67,82.67,4.45,22.81,15.74,12.41,0.66,12.63,22.9,0.06,2.18,0.11,88.0,Satisfactory
AP001,2018-03-05,30.04,83.07,11.58,24.74,22.65,12.52,0.78,8.98,17.81,0.05,1.91,0.21,83.0,Satisfactory
AP001,2018-03-06,39.72,103.81,19.66,26.29,30.06,14.03,0.81,9.68,17.53,0.11,2.46,0.17,100.0,Satisfactory
AP001,2018-03-07,38.21,78.95,5.71,19.03,14.85,14.15,0.75,8.03,22.81,0.05,2.19,0.1,81.0,Satisfactory
AP001,2018-03-08,58.31,124.64,11.93,28.85,25.14,14.0,1.03,10.21,22.24,0.12,2.38,0.16,112.0,Moderate
AP001,2018-03-09,62.49,113.56,8.08,22.65,18.7,16.53,0.91,12.68,26.26,0.09,2.18,0.12,113.0,Moderate
AP001,2018-03-10,49.04,102.46,5.75,19.92,15.26,14.09,0.64,6.82,26.52,0.1,2.5,0.1,105.0,Moderate
AP001,2018-03-11,41.67,80.09,2.74,13.08,9.19,13.51,0.78,8.35,30.38,0.11,2.08,0.1,88.0,Satisfactory
AP001,2018-03-12,32.44,75.3,6.01,19.07,15.02,12.65,0.68,7.75,21.52,0.09,2.72,0.15,78.0,Satisfactory
AP001,2018-03-13,26.43,80.85,10.73,20.82,19.8,11.64,0.72,9.43,16.52,0.08,2.24,0.13,78.0,Satisfactory
AP001,2018-03-14,25.08,60.67,7.17,15.22,13.94,14.1,0.56,8.63,13.8,0.05,2.19,0.12,69.0,Satisfactory
AP001,2018-03-15,26.09,63.05,4.9,10.42,9.51,10.74,0.58,11.33,21.38,0.02,1.26,0.1,60.0,Satisfactory
AP001,2018-03-16,16.62,39.94,4.9,8.18,8.43,11.53,0.58,6.37,12.68,0.01,1.52,,51.0,Satisfactory
AP001,2018-03-17,49.58,82.95,4.98,19.05,14.27,13.47,0.7,12.47,20.32,0.09,2.18,0.22,61.0,Satisfactory
AP001,2018-03-18,43.52,80.01,6.41,20.43,16.16,13.75,0.8,10.57,23.36,0.12,2.6,0.29,90.0,Satisfactory
AP001,2018-03-19,39.83,76.09,4.63,14.37,11.5,13.34,0.7,8.89,23.13,0.09,2.71,0.1,74.0,Satisfactory
AP001,2018-03-20,36.89,76.61,6.62,18.83,15.39,13.96,0.57,7.04,13.58,0.06,2.88,0.1,76.0,Satisfactory
AP001,2018-03-21,48.71,96.46,5.63,14.86,12.65,13.01,0.92,15.45,27.48,0.06,1.73,0.1,,
AP001,2018-03-22,52.69,94.25,4.69,14.44,11.58,15.35,0.59,16.81,19.03,0.01,1.48,0.1,92.0,Satisfactory
AP001,2018-03-23,46.48,95.41,4.35,14.79,11.5,15.02,0.6,15.55,21.04,0.03,1.62,0.16,93.0,Satisfactory
AP001,2018-03-24,44.22,77.62,3.56,8.53,7.52,14.58,0.73,9.61,23.87,0.02,1.28,0.1,88.0,Satisfactory
AP001,2018-03-25,35.91,71.26,2.94,6.99,6.19,13.53,0.67,3.69,27.58,0.01,1.69,,75.0,Satisfactory
AP001,2018-03-26,39.05,81.51,3.43,9.86,8.11,10.94,0.68,7.26,23.74,0.05,2.2,0.13,79.0,Satisfactory
AP001,2018-03-27,30.21,67.22,5.11,11.29,10.25,11.24,0.58,13.19,20.89,0.01,1.96,0.1,74.0,Satisfactory
AP001,2018-03-28,31.14,60.35,4.25,10.36,9.05,11.8,0.83,14.42,20.99,0.02,1.69,0.1,62.0,Satisfactory
AP001,2018-03-29,26.82,52.51,3.63,7.68,7.14,11.54,0.69,13.63,23.6,0.0,1.27,,53.0,Satisfactory
AP001,2018-03-30,26.34,52.07,3.49,8.43,7.41,9.3,0.57,18.83,23.6,0.0,1.38,,53.0,Satisfactory
AP001,2018-03-31,28.48,55.8,3.06,6.86,6.23,10.49,0.64,12.97,24.19,0.0,1.42,,55.0,Satisfactory
AP001,2018-04-01,21.83,52.92,2.69,5.28,5.09,7.53,0.55,8.3,23.34,0.0,1.43,,52.0,Satisfactory
AP001,2018-04-02,24.23,52.06,4.32,14.33,11.23,8.17,0.56,9.95,23.86,0.04,1.38,0.1,55.0,Satisfactory
AP001,2018-04-03,22.29,55.96,4.38,11.27,9.64,10.88,0.67,8.08,19.63,0.03,1.85,0.1,56.0,Satisfactory
AP001,2018-04-04,25.28,54.59,4.93,9.65,9.24,12.44,0.72,8.7,19.64,0.01,1.5,0.1,56.0,Satisfactory
AP001,2018-04-05,19.68,45.57,2.06,6.63,5.2,8.44,0.69,5.86,14.34,0.0,1.43,,52.0,Satisfactory
AP001,2018-04-06,29.89,71.75,5.08,9.62,9.25,9.17,0.87,10.34,20.63,0.0,1.12,,,
AP001,2018-04-07,24.4,70.25,5.01,10.84,9.84,10.27,0.74,7.4,13.13,0.0,1.11,0.1,76.0,Satisfactory
AP001,2018-04-08,20.05,79.5,4.17,13.54,10.69,9.77,0.65,10.35,34.29,0.02,1.12,,76.0,Satisfactory
AP001,2018-04-09,23.72,55.74,4.18,8.86,8.18,10.54,0.81,6.71,19.29,0.0,0.99,0.1,81.0,Satisfactory
AP001,2018-04-10,26.12,56.77,4.8,11.71,10.14,9.83,0.5,6.88,14.32,0.0,1.14,0.12,59.0,Satisfactory
AP001,2018-04-11,13.0,29.0,3.8,2.8,4.6,20.1,,,19.6,0.0,0.8,,,
AP001,2018-04-12,9.25,35.45,4.7,4.6,6.48,9.06,0.54,6.2,21.66,0.0,0.89,,,
AP001,2018-04-13,7.16,26.39,3.86,5.22,5.99,8.62,0.59,6.62,14.29,0.0,0.95,,46.0,Good
AP001,2018-04-14,7.97,33.2,4.26,6.48,7.0,8.66,0.61,6.01,11.52,0.0,1.06,,40.0,Good
AP001,2018-04-15,6.48,23.83,2.39,3.54,3.83,8.32,0.47,5.97,11.63,0.0,0.82,,33.0,Good
AP001,2018-04-16,7.2,34.11,3.7,5.73,6.14,7.23,0.5,7.01,18.9,0.0,1.07,,49.0,Good
AP001,2018-04-17,8.27,27.27,3.72,5.86,6.14,6.04,0.53,6.69,7.51,0.0,0.98,,32.0,Good
AP001,2018-04-18,17.79,53.96,4.51,6.55,7.31,8.37,0.73,10.53,28.54,0.0,1.02,,,
AP001,2018-04-19,9.21,27.62,2.67,3.26,3.9,6.59,0.44,6.91,11.95,0.0,0.73,,42.0,Good
AP001,2018-04-20,24.83,67.21,3.41,6.22,6.25,10.45,0.56,15.16,30.26,0.0,0.82,,,
AP001,2018-04-21,19.78,49.86,3.0,4.9,5.14,6.3,0.66,7.64,23.67,0.0,0.7,,53.0,Satisfactory
AP001,2018-04-22,8.85,30.54,2.7,3.86,4.26,5.01,0.36,5.44,20.73,0.0,0.74,,47.0,Good
AP001,2018-04-23,25.0,61.0,3.1,8.8,7.2,7.5,,,19.6,0.0,1.1,,,
AP001,2018-04-24,23.35,91.83,4.6,7.1,7.6,7.8,0.62,11.15,34.95,0.0,0.52,,,
AP001,2018-04-25,18.48,62.52,3.36,12.71,9.5,6.68,0.76,7.38,17.57,0.0,0.87,,79.0,Satisfactory
AP001,2018-04-26,24.79,66.54,4.32,7.23,7.54,9.86,0.6,13.05,29.11,0.0,0.89,,,
AP001,2018-04-27,11.04,38.34,3.76,5.11,5.87,6.78,0.48,6.21,16.31,0.0,0.71,,47.0,Good
AP001,2018-04-28,9.74,33.83,3.94,4.84,5.87,5.66,0.66,7.51,12.65,0.0,0.83,,51.0,Satisfactory
AP001,2018-04-29,10.35,30.98,3.51,5.55,5.81,4.43,1.01,5.38,7.55,0.0,0.86,,52.0,Satisfactory
AP001,2018-04-30,28.85,64.52,3.84,5.51,6.23,6.12,0.45,5.93,32.05,0.0,0.68,,,
AP001,2018-05-01,22.81,53.85,3.12,6.96,6.33,5.76,0.8,7.09,34.26,0.0,0.22,,88.0,Satisfactory
AP001,2018-05-02,28.54,56.36,4.29,22.75,15.68,8.96,0.85,7.28,32.62,,,,78.0,Satisfactory
AP001,2018-05-03,18.46,39.45,3.59,14.17,10.55,12.76,0.49,6.37,30.3,,,,90.0,Satisfactory
AP001,2018-05-04,23.9,37.71,4.65,26.74,18.01,12.69,0.56,6.01,12.46,,,,43.0,Good
AP001,2018-05-05,,,,,,,,,,,,,,
AP001,2018-05-06,,,,,,,,,,,,,,
AP001,2018-05-07,17.0,50.0,3.6,12.1,9.4,18.0,,,54.9,0.1,0.3,,,
AP001,2018-05-08,29.12,74.4,3.36,10.7,8.42,10.16,0.54,17.55,53.09,0.07,5.08,,,
AP001,2018-05-09,14.42,36.29,3.41,6.9,6.44,7.77,0.43,9.19,35.44,0.08,2.85,,55.0,Satisfactory
AP001,2018-05-10,19.06,43.83,5.12,9.93,9.48,9.06,0.54,8.34,51.0,0.05,0.47,,,
AP001,2018-05-11,12.42,36.29,4.47,10.28,9.11,4.63,0.51,5.82,36.88,0.03,0.21,0.15,52.0,Satisfactory
AP001,2018-05-12,21.4,54.19,4.04,8.19,7.82,9.19,0.57,9.63,56.23,0.32,0.3,,,
AP001,2018-05-13,16.78,42.22,2.87,5.94,5.57,7.82,0.4,7.31,50.24,0.21,0.74,,84.0,Satisfactory
AP001,2018-05-14,19.77,62.11,3.66,10.0,8.38,9.3,1.03,12.02,43.79,0.57,0.0,,95.0,Satisfactory
AP001,2018-05-15,22.63,54.13,2.87,14.93,10.28,9.67,0.26,9.43,41.32,0.81,0.0,,58.0,Satisfactory
AP001,2018-05-16,22.44,55.03,4.24,10.94,9.25,9.46,1.31,7.48,40.74,0.28,0.05,,,
AP001,2018-05-17,15.2,45.09,4.69,9.26,8.84,8.99,1.18,6.82,54.21,2.11,0.06,4.47,125.0,Moderate
AP001,2018-05-18,9.58,28.33,3.12,9.05,7.35,13.54,0.59,7.27,122.21,1.0,0.0,,192.0,Moderate
AP001,2018-05-19,43.35,103.42,2.84,10.57,7.94,10.89,,21.69,64.07,0.88,0.0,,,
AP001,2018-05-20,16.44,54.42,2.37,7.26,5.79,9.16,,8.06,40.47,0.95,0.0,0.1,81.0,Satisfactory
AP001,2018-05-21,27.93,81.18,3.98,11.44,9.32,8.48,,11.16,51.06,0.2,0.0,,,
AP001,2018-05-22,13.23,41.25,2.51,5.4,4.92,9.37,,6.55,29.12,0.23,0.04,1.3,65.0,Satisfactory
AP001,2018-05-23,20.52,77.6,4.36,11.91,10.02,11.75,0.25,7.92,79.94,0.14,0.0,,,
AP001,2018-05-24,25.62,56.44,4.28,13.88,10.97,11.52,0.48,7.3,44.62,0.44,0.34,8.45,86.0,Satisfactory
AP001,2018-05-25,40.32,66.25,4.36,11.3,9.65,10.61,0.5,7.57,24.35,39.22,4.47,8.46,62.0,Satisfactory
AP001,2018-05-26,13.07,37.35,3.8,8.59,7.75,9.78,0.46,6.09,29.05,28.37,5.06,4.02,78.0,Satisfactory
AP001,2018-05-27,16.56,41.96,3.03,7.25,6.31,9.48,0.41,6.48,62.01,35.84,0.44,1.52,114.0,Moderate
AP001,2018-05-28,19.57,44.72,3.72,7.72,7.22,10.79,0.34,5.99,64.58,53.89,26.79,125.18,103.0,Moderate
AP001,2018-05-29,30.96,72.18,3.63,10.82,8.8,11.18,0.36,11.72,82.13,48.64,6.44,,134.0,Moderate
AP001,2018-05-30,32.1,83.29,3.17,10.17,8.07,9.85,0.29,6.4,105.09,,,,168.0,Moderate
AP001,2018-05-31,31.82,74.79,3.17,9.57,7.76,9.97,0.32,9.41,100.6,,,,150.0,Moderate
AP001,2018-06-01,37.5,84.96,3.27,11.57,8.91,10.06,0.57,4.53,79.11,,,,127.0,Moderate
AP001,2018-06-02,23.25,61.1,4.29,15.21,11.68,9.62,0.43,9.78,57.54,21.16,20.84,,106.0,Moderate
AP001,2018-06-03,27.42,57.28,3.36,19.38,13.04,7.89,0.32,6.83,77.6,16.54,8.98,89.7,129.0,Moderate
AP001,2018-06-04,31.26,72.82,2.6,10.78,7.92,9.02,0.4,7.7,100.25,6.66,1.0,47.94,136.0,Moderate
AP001,2018-06-05,28.12,70.21,2.67,13.18,9.28,11.27,0.38,7.28,126.43,4.24,6.34,22.67,155.0,Moderate
AP001,2018-06-06,32.33,55.74,3.37,18.42,12.62,13.99,0.51,6.22,44.58,1.84,76.32,,87.0,Satisfactory
AP001,2018-06-07,19.29,31.22,2.93,13.9,9.86,17.3,0.42,5.87,65.87,,,,84.0,Satisfactory
AP001,2018-06-08,17.99,29.24,2.8,10.45,7.92,14.89,0.32,6.37,63.95,,,,85.0,Satisfactory
AP001,2018-06-09,12.72,24.79,2.33,9.03,6.78,10.79,0.4,5.82,72.26,,,,91.0,Satisfactory
AP001,2018-06-10,13.65,35.39,1.9,6.11,4.79,9.14,0.46,7.1,60.03,,,,76.0,Satisfactory
AP001,2018-06-11,17.64,47.81,3.95,10.06,8.65,9.74,0.49,5.81,46.41,,,,60.0,Satisfactory
AP001,2018-06-12,23.43,57.11,5.5,13.82,11.83,10.29,0.79,6.68,46.96,,,,69.0,Satisfactory
AP001,2018-06-13,25.92,68.27,4.85,15.08,11.96,9.72,0.61,6.36,36.27,,,,64.0,Satisfactory
AP001,2018-06-14,32.7,103.88,3.83,11.83,9.5,11.4,0.55,8.41,47.71,,,,98.0,Satisfactory
AP001,2018-06-15,31.58,107.31,4.62,13.57,11.07,13.41,1.13,8.66,62.14,,,,128.0,Moderate
AP001,2018-06-16,22.9,69.96,3.08,10.96,8.42,10.54,0.75,5.29,61.1,,,,113.0,Moderate
AP001,2018-06-17,24.23,78.11,3.0,8.32,6.95,10.85,0.98,9.0,59.68,,,,87.0,Satisfactory
AP001,2018-06-18,17.92,68.72,3.53,7.85,7.13,10.72,0.46,6.66,52.83,,,,79.0,Satisfactory
AP001,2018-06-19,17.38,55.59,4.73,9.13,8.79,9.36,0.84,6.18,54.36,,,,69.0,Satisfactory
AP001,2018-06-20,19.06,59.46,4.75,11.31,9.96,10.32,1.02,5.43,62.58,,,,78.0,Satisfactory
AP001,2018-06-21,18.81,55.66,3.91,11.7,9.49,11.32,1.01,5.53,62.72,0.23,0.26,0.1,88.0,Satisfactory
